,OrderNumber,UseType,FacilityID,FacilityLongitude,FacilityLatitude,CustomerZIP,TotalPaid,StartDate,EndDate,NumberOfPeople,Tent,Popup,Trailer,RVMotorhome,Boat,Car,FifthWheel,Van,CanoeKayak,BoatTrailer,PowerBoat,PickupCamper,LargeTentOver9x12,SmallTent,CustomerLatitude,CustomerLongitude,LengthOfStay
0,1-5323272,Overnight,234074,-122.51,44.7575,97128-3127,170.0,2007-07-27,2007-07-29,35,,,,,,1.0,,,,,,,,,45.2,-123.3,2
1,1-5384274,Overnight,234059,-109.589,38.7769,84062,54.0,2007-04-18,2007-04-21,8,,,,,,1.0,,,,,,,,,40.39,-111.74,3
2,1-5342597,Overnight,234074,-122.51,44.7575,97317,190.0,2007-08-10,2007-08-12,60,1.0,,1.0,1.0,,,,,,,,,,,44.9,-122.9,2
3,1-4665692,Overnight,234038,-103.304,29.275,78759,129.0,2007-02-21,2007-02-25,10,,,,,,1.0,,,,,,,,,30.4,-97.75,4
4,1-4673458,Overnight,234038,-103.304,29.275,75006,429.0,2007-02-02,2007-02-09,20,1.0,,,,,,,,,,,,,,32.95,-96.89,7
5,1-4673463,Overnight,234038,-103.304,29.275,75006,429.0,2007-02-02,2007-02-09,20,1.0,,,,,,,,,,,,,,32.95,-96.89,7
6,1-4675412,Overnight,234035,-102.961,29.1825,78735,609.0,2007-03-04,2007-03-09,40,,,,,,1.0,,,,,,,,,30.27,-97.87,5
7,1-4675441,Overnight,234035,-102.961,29.1825,78735,609.0,2007-03-04,2007-03-09,40,,,,,,1.0,,,,,,,,,30.27,-97.87,5
8,1-4706690,Overnight,234038,-103.304,29.275,76103,79.0,2007-03-10,2007-03-15,20,,,,,,1.0,,,,,,,,,32.75,-97.27,5
9,1-4731453,Overnight,234059,-109.589,38.7769,84106,174.0,2007-03-22,2007-03-27,11,,,,,,1.0,,,,,,,,,40.71,-111.86,5
10,1-4750165,Overnight,234035,-102.961,29.1825,75137,219.0,2007-03-10,2007-03-17,10,,,,,,1.0,,,,,,,,,32.63,-96.91,7
11,1-4750575,Overnight,234045,-91.4083,37.2831,65202,119.0,2007-06-23,2007-06-25,30,,,,,,1.0,,,,,,,,,39.0,-92.3,2
12,1-4765520,Overnight,234059,-109.589,38.7769,84062,194.0,2007-04-17,2007-04-22,11,1.0,,,,,,,,,,,,,,40.39,-111.74,5
13,1-4785284,Overnight,234059,-109.589,38.7769,84501,108.0,2007-04-06,2007-04-09,11,,,,,,1.0,,,,,,,,,39.6,-110.8,3
14,1-4801495,Overnight,234059,-109.589,38.7769,92107,117.0,2007-04-01,2007-04-04,12,,,,,,1.0,,,,,,,,,32.74,-117.24,3
15,1-4812354,Overnight,234059,-109.589,38.7769,84111,117.0,2007-04-12,2007-04-15,12,,,,,,1.0,,,,,,,,,40.76,-111.88,3
16,1-4857546,Overnight,234035,-102.961,29.1825,79734,249.0,2007-04-23,2007-04-27,20,,,,,,1.0,,,,,,,,,30.8,-103.9,4
17,1-4861418,Overnight,234038,-103.304,29.275,79734,69.0,2007-03-07,2007-03-08,20,,,,,,1.0,,,,,,,,,30.8,-103.9,1
18,1-4899443,Overnight,234059,-109.589,38.7769,84124,75.0,2007-05-11,2007-05-13,11,,,,,,1.0,,,,,,,,,40.68,-111.79,2
19,1-4911251,Overnight,234038,-103.304,29.275,70055,135.0,2007-03-25,2007-03-28,14,1.0,,,,,,,,,,,,,,,,3
20,1-4911254,Overnight,234038,-103.304,29.275,70055,171.0,2007-03-25,2007-03-28,18,1.0,,,,,,,,,,,,,,,,3
21,1-4911264,Overnight,234038,-103.304,29.275,70055,144.0,2007-03-25,2007-03-28,15,1.0,,,,,,,,,,,,,,,,3
22,1-4911269,Overnight,234038,-103.304,29.275,70055,99.0,2007-03-25,2007-03-28,10,1.0,,,,,,,,,,,,,,,,3
23,1-4911311,Overnight,234038,-103.304,29.275,70055,189.0,2007-03-24,2007-03-29,12,,,,,,1.0,,,,,,,,,,,5
24,1-4911322,Overnight,234038,-103.304,29.275,70055,189.0,2007-03-24,2007-03-29,12,,,,,,1.0,,,,,,,,,,,5
25,1-4911327,Overnight,234038,-103.304,29.275,70055,189.0,2007-03-24,2007-03-29,12,,,,,,1.0,,,,,,,,,,,5
26,1-4938896,Overnight,234059,-109.589,38.7769,80302,240.0,2007-03-24,2007-03-31,11,,,,,,1.0,,,,,,,,,40.1,-105.4,7
27,1-4940493,Overnight,234059,-109.589,38.7769,80917,174.0,2007-05-06,2007-05-11,11,1.0,,,,,,,,,,,,,,38.89,-104.75,5
28,1-4972117,Overnight,234177,-122.351,44.5858,97377,110.0,2007-05-25,2007-05-28,50,,,,,,1.0,,,,,,,,,44.5,-123.1,3
29,1-4974724,Overnight,234038,-103.304,29.275,78757,249.0,2007-04-09,2007-04-13,20,,,,,,1.0,,,,,,,,,30.35,-97.73,4
30,1-4974737,Overnight,234038,-103.304,29.275,78757,249.0,2007-04-09,2007-04-13,20,,,,,,1.0,,,,,,,,,30.35,-97.73,4
31,1-4974747,Overnight,234038,-103.304,29.275,78757,129.0,2007-04-09,2007-04-13,10,,,,,,1.0,,,,,,,,,30.35,-97.73,4
32,1-4980438,Overnight,234059,-109.589,38.7769,80210,108.0,2007-05-25,2007-05-28,11,,,,,,1.0,,,,,,,,,39.68,-104.96,3
33,1-4985327,Overnight,234043,-92.5569,36.0731,72227,108.0,2007-05-25,2007-05-28,10,1.0,,,,,1.0,,,,,,,,,34.78,-92.37,3
34,1-4985338,Overnight,234043,-92.5569,36.0731,72227,108.0,2007-05-25,2007-05-28,10,1.0,,,,,1.0,,,,,,,,,34.78,-92.37,3
35,1-4985341,Overnight,234043,-92.5569,36.0731,72227,108.0,2007-05-25,2007-05-28,10,1.0,,,,,1.0,,,,,,,,,34.78,-92.37,3
36,1-4999174,Overnight,234050,-96.9675,34.505,77039,19.0,2007-05-26,2007-05-29,30,1.0,,,,,,,,,,,,,,29.91,-95.34,3
37,1-5040807,Overnight,234079,-112.167,37.6344,94710,19.0,2007-06-06,2007-06-08,29,,,,,,1.0,,,,,,,,,37.87,-122.31,2
38,1-5060824,Overnight,234038,-103.304,29.275,79110,234.0,2007-03-18,2007-03-23,15,,,,,,1.0,,,,,,,,,35.15,-101.87,5
39,1-5069090,Overnight,234035,-102.961,29.1825,78239,69.0,2007-02-10,2007-02-16,2,,,,,,1.0,,,,,,,,,29.52,-98.36,6
40,1-5072815,Overnight,234043,-92.5569,36.0731,72802,75.0,2007-06-01,2007-06-03,10,,,,,,1.0,,,,,,,,,35.3,-93.1,2
41,1-5072839,Overnight,234043,-92.5569,36.0731,72802,75.0,2007-06-01,2007-06-03,10,,,,,,1.0,,,,,,,,,35.3,-93.1,2
42,1-5082806,Overnight,234079,-112.167,37.6344,94710,201.0,2007-06-14,2007-06-16,29,,,,,,1.0,,,,,,,,,37.87,-122.31,2
43,1-5090062,Overnight,234035,-102.961,29.1825,14580,44.0,2007-02-13,2007-02-20,2,,,,,,1.0,,,,,,,,,43.22,-77.45,7
44,1-5090893,Overnight,234057,-107.172,38.4856,81004,359.0,2007-06-15,2007-06-22,30,,,1.0,,,1.0,1.0,,,,,,,,38.1,-104.7,7
45,1-5092236,Overnight,234050,-96.9675,34.505,74753,129.0,2007-06-14,2007-06-19,30,1.0,,,,,1.0,,,,,,,,,33.906,-96.537,5
46,1-5121359,Overnight,234038,-103.304,29.275,79734,19.0,2007-03-20,2007-03-21,20,,,,,,1.0,,,,,,,,,30.8,-103.9,1
47,1-5137738,Overnight,234057,-107.172,38.4856,80540,109.0,2007-06-22,2007-06-24,4,,,,,,1.0,,,,,,,,,40.2,-105.4,2
48,1-5139202,Overnight,234079,-112.167,37.6344,80301,60.0,2007-05-27,2007-05-28,14,,,,,,1.0,,,,,,,,,40.05,-105.21,1
49,1-5140586,Overnight,234057,-107.172,38.4856,80540,59.0,2007-06-24,2007-06-25,4,,,,,,1.0,,,,,,,,,40.2,-105.4,1
50,1-5141838,Overnight,234059,-109.589,38.7769,84020,75.0,2007-04-05,2007-04-07,11,,,,,,1.0,,,,,,,,,40.49,-111.85,2
51,1-5143839,Overnight,234035,-102.961,29.1825,78023,89.0,2007-03-03,2007-03-17,2,,,,,,1.0,,,,,,,,,29.6,-98.8,14
52,1-5144001,Overnight,234035,-102.961,29.1825,44047,79.0,2007-02-25,2007-03-11,2,,,1.0,,,,1.0,,,,,,,,41.7,-80.7,14
53,1-5156611,Overnight,234035,-102.961,29.1825,75061,79.0,2007-02-28,2007-03-14,2,,,,,,1.0,,,,,,,,,32.83,-97.01,14
54,1-5160020,Overnight,234035,-102.961,29.1825,43420,79.0,2007-03-01,2007-03-15,6,,,,1.0,,1.0,,,,,,,,,41.4,-83.1,14
55,1-5160028,Overnight,234035,-102.961,29.1825,79416,79.0,2007-03-01,2007-03-15,8,,,1.0,,,,,,,,,,,,33.61,-101.97,14
56,1-5160039,Overnight,234035,-102.961,29.1825,79424,79.0,2007-03-01,2007-03-15,2,,,1.0,,,,,,,,,,,,33.47,-101.94,14
57,1-5160098,Overnight,234046,-91.4497,37.1472,64119,209.0,2007-06-08,2007-06-10,10,,,,,,1.0,,,,,,,,,39.21,-94.51,2
58,1-5160171,Overnight,234035,-102.961,29.1825,79323,89.0,2007-03-03,2007-03-17,2,,,1.0,,,,,,,,,,,,33.0,-102.8,14
59,1-5160349,Overnight,234035,-102.961,29.1825,67050,79.0,2007-03-01,2007-03-15,2,,,1.0,,,,,,,,,,,,37.67,-97.68,14
60,1-5165435,Overnight,234079,-112.167,37.6344,94710,177.0,2007-06-30,2007-07-02,25,,,,,,1.0,,,,,,,,,37.87,-122.31,2
61,1-5176263,Overnight,234074,-122.51,44.7575,97124,80.0,2007-06-22,2007-06-24,6,,,,,,1.0,,,,,,,,,45.6,-123.0,2
62,1-5177509,Overnight,234074,-122.51,44.7575,97203,345.0,2007-06-30,2007-07-05,60,,,,,,1.0,,,,,,,,,45.61,-122.75,5
63,1-5177714,Overnight,234035,-102.961,29.1825,M4S2P9,59.0,2007-01-23,2007-01-28,2,,,,,,1.0,,,,,,,,,,,5
64,1-5180934,Overnight,234074,-122.51,44.7575,97322,170.0,2007-06-29,2007-07-01,35,1.0,,1.0,,,,,,,,,,,,44.6,-123.0,2
65,1-5185055,Overnight,234068,-118.312,48.1246,99117,259.0,2007-06-29,2007-07-04,20,,,,,,1.0,,,,,,,,,47.7,-118.5,5
66,1-5186455,Overnight,234070,-118.69,47.9268,99224,259.0,2007-06-29,2007-07-05,15,,,,,,1.0,,,,,,,,,47.6,-117.5,6
67,1-5189369,Overnight,234045,-91.4083,37.2831,62801,309.0,2007-07-05,2007-07-08,15,,,,,,1.0,,,,,,,,,38.5,-89.2,3
68,1-5189977,Overnight,234070,-118.69,47.9268,99185,209.0,2007-07-04,2007-07-09,25,,,,,,1.0,,,,,,,,,47.7,-118.7,5
69,1-5190898,Overnight,234074,-122.51,44.7575,97305,95.0,2007-06-29,2007-07-01,60,,,,,,1.0,,,,,,,,,45.0,-122.9,2
70,1-5193029,Overnight,234059,-109.589,38.7769,43023,151.0,2007-03-11,2007-03-13,22,,,,,,1.0,,,,,,,,,40.1,-82.5,2
71,1-5193460,Day,234074,-122.51,44.7575,97222,60.0,2007-07-05,2007-07-05,20,,,,,,1.0,,,,,,,,,45.44,-122.62,0
72,1-5199677,Overnight,234074,-122.51,44.7575,97305,170.0,2007-07-06,2007-07-08,50,,,,,,1.0,1.0,,,,,,,,45.0,-122.9,2
73,1-5199681,Overnight,234074,-122.51,44.7575,97305,170.0,2007-07-06,2007-07-08,50,,,,,,1.0,1.0,,,,,,,,45.0,-122.9,2
74,1-5200094,Day,234074,-122.51,44.7575,97222,60.0,2007-07-06,2007-07-06,40,,,,,,1.0,,,,,,,,,45.44,-122.62,0
75,1-5204059,Day,234074,-122.51,44.7575,97358,110.0,2007-07-07,2007-07-07,150,,,,,,1.0,,,,,,,,,44.8,-122.5,0
76,1-5204389,Overnight,234059,-109.589,38.7769,84020,19.0,2007-03-09,2007-03-12,2,,,,1.0,,,,,,,,,,,40.49,-111.85,3
77,1-5207022,Overnight,234038,-103.304,29.275,78613,19.0,2007-03-09,2007-03-12,3,,,,,,1.0,,,,,,,,,30.5,-97.82,3
78,1-5208288,Overnight,234035,-102.961,29.1825,78761,59.0,2007-03-10,2007-03-15,8,,,,,,1.0,,,,,,,,,,,5
79,1-5208669,Overnight,234038,-103.304,29.275,77015-2434,59.0,2007-03-10,2007-03-18,4,,,1.0,,,,1.0,,,,,,,,29.77,-95.16,8
80,1-5211479,Overnight,234035,-102.961,29.1825,77381,79.0,2007-03-10,2007-03-17,5,,,,,,1.0,,,,,,,,,30.18,-95.5,7
81,1-5211505,Overnight,234035,-102.961,29.1825,77381,79.0,2007-03-10,2007-03-17,5,,,,,,1.0,,,,,,,,,30.18,-95.5,7
82,1-5212438,Overnight,234035,-102.961,29.1825,77019-5897,309.0,2007-02-18,2007-02-23,20,,,,,,1.0,,,,,,,,,29.75,-95.41,5
83,1-5212439,Overnight,234035,-102.961,29.1825,77019-5897,309.0,2007-02-18,2007-02-23,20,,,,,,1.0,,,,,,,,,29.75,-95.41,5
84,1-5212440,Overnight,234035,-102.961,29.1825,77019-5897,609.0,2007-02-18,2007-02-23,40,,,,,,1.0,,,,,,,,,29.75,-95.41,5
85,1-5212441,Overnight,234035,-102.961,29.1825,77019-5897,609.0,2007-02-18,2007-02-23,40,,,,,,1.0,,,,,,,,,29.75,-95.41,5
86,1-5212446,Overnight,234038,-103.304,29.275,77019-5897,309.0,2007-02-18,2007-02-23,20,,,,,,1.0,,,,,,,,,29.75,-95.41,5
87,1-5212449,Overnight,234038,-103.304,29.275,77019-5897,189.0,2007-02-18,2007-02-23,12,,,,,,1.0,,,,,,,,,29.75,-95.41,5
88,1-5212450,Overnight,234038,-103.304,29.275,77019-5897,219.0,2007-02-18,2007-02-23,14,,,,,,1.0,,,,,,,,,29.75,-95.41,5
89,1-5212471,Overnight,234038,-103.304,29.275,75703,59.0,2007-03-11,2007-03-16,8,,,,,,1.0,,,,,,,,,32.2,-95.3,5
90,1-5212474,Overnight,234038,-103.304,29.275,75703,59.0,2007-03-11,2007-03-16,8,,,,,,1.0,,,,,,,,,32.2,-95.3,5
91,1-5218064,Overnight,234038,-103.304,29.275,78759,49.0,2007-03-12,2007-03-16,8,1.0,,,,,,1.0,,,,,,,,30.4,-97.75,4
92,1-5220516,Overnight,234038,-103.304,29.275,78726,69.0,2007-03-10,2007-03-16,4,,,,,,1.0,,,,,,,,,30.43,-97.84,6
93,1-5221903,Overnight,234038,-103.304,29.275,76116,59.0,2007-03-12,2007-03-17,8,,,,,,,1.0,,,,,,,,32.72,-97.46,5
94,1-5221935,Overnight,234038,-103.304,29.275,76116,59.0,2007-03-12,2007-03-17,8,,,,,,,1.0,,,,,,,,32.72,-97.46,5
95,1-5221940,Overnight,234038,-103.304,29.275,76116,59.0,2007-03-12,2007-03-17,8,,,,,,,1.0,,,,,,,,32.72,-97.46,5
96,1-5222523,Overnight,234038,-103.304,29.275,77346,49.0,2007-03-10,2007-03-18,5,,,1.0,,,1.0,1.0,,,,,,,,29.98,-95.18,8
97,1-5224179,Overnight,234045,-91.4083,37.2831,62260,309.0,2007-06-21,2007-06-24,40,,,,,,1.0,,,,,,,,,38.5,-90.1,3
98,1-5225867,Overnight,234043,-92.5569,36.0731,71342,87.0,2007-04-13,2007-04-15,12,,,,,,1.0,,,,,,,,,31.6,-92.2,2
99,1-5225934,Overnight,234038,-103.304,29.275,77707,39.0,2007-03-14,2007-03-17,3,,,,,,1.0,,,,,,,,,30.05,-94.17,3
100,1-5226007,Overnight,234074,-122.51,44.7575,97203,200.0,2007-07-12,2007-07-17,2,,,,,,1.0,,,,,,,,,45.61,-122.75,5
101,1-5226013,Overnight,234074,-122.51,44.7575,97203,200.0,2007-07-12,2007-07-17,2,,,,,,1.0,,,,,,,,,45.61,-122.75,5
102,1-5235144,Overnight,234079,-112.167,37.6344,94710,201.0,2007-07-08,2007-07-10,29,,,,,,1.0,,,,,,,,,37.87,-122.31,2
103,1-5235177,Overnight,234079,-112.167,37.6344,94710,201.0,2007-07-11,2007-07-13,29,,,,,,1.0,,,,,,,,,37.87,-122.31,2
104,1-5235500,Overnight,234066,-118.115,48.5924,99205,159.0,2007-05-25,2007-05-28,25,,,,,,1.0,,,,,,,,,47.69,-117.45,3
105,1-5241846,Overnight,234038,-103.304,29.275,54901,189.0,2007-03-19,2007-03-24,12,,,,,,1.0,,,,,,,,,44.07,-88.52,5
106,1-5242003,Overnight,234059,-109.589,38.7769,84020,31.5,2007-03-16,2007-03-19,2,,,,1.0,,1.0,,,,,,,,,40.49,-111.85,3
107,1-5242119,Overnight,234177,-122.351,44.5858,97355,80.0,2007-06-08,2007-06-10,50,,,,,,1.0,,,,,,,,,44.5,-122.8,2
108,1-5242795,Overnight,234070,-118.69,47.9268,98058,359.0,2007-07-14,2007-07-22,25,,,,1.0,,,1.0,,,,,,,,47.44,-122.12,8
109,1-5244626,Overnight,234035,-102.961,29.1825,77995,19.0,2007-03-10,2007-03-15,4,,,,,,1.0,,,,,,,,,29.2,-97.1,5
110,1-5249968,Overnight,234035,-102.961,29.1825,85749,69.0,2007-03-16,2007-03-17,20,,,,,,1.0,,,,,,,,,32.4,-110.7,1
111,1-5251879,Overnight,234038,-103.304,29.275,78247,39.0,2007-03-12,2007-03-15,3,1.0,,,,,,,,,,,,,,29.57,-98.41,3
112,1-5254275,Overnight,234038,-103.304,29.275,78749,19.0,2007-03-14,2007-03-16,8,,,,,,1.0,,,,,,,,,30.21,-97.86,2
113,1-5254324,Overnight,234038,-103.304,29.275,78749,29.0,2007-03-14,2007-03-16,8,,,,,,1.0,,,,,,,,,30.21,-97.86,2
114,1-5256447,Day,234074,-122.51,44.7575,97477,230.0,2007-07-12,2007-07-14,50,,,,,,1.0,,,,,,,,,44.07,-123.0,2
115,1-5262101,Overnight,234068,-118.312,48.1246,99016-8680,209.0,2007-07-12,2007-07-16,25,,,,,,1.0,,,,,,,,,47.63,-117.15,4
116,1-5263467,Overnight,234035,-102.961,29.1825,80304,79.0,2007-03-03,2007-03-17,2,,,,,,1.0,,,,,,,,,40.05,-105.29,14
117,1-5263703,Overnight,234070,-118.69,47.9268,98223,409.0,2007-07-09,2007-07-19,25,,,,,,1.0,,,,,,,,,48.2,-122.0,10
118,1-5265966,Overnight,234057,-107.172,38.4856,81230,259.0,2007-07-12,2007-07-17,50,,,,,,1.0,,,,,,,,,38.6,-106.9,5
119,1-5266623,Overnight,234038,-103.304,29.275,75087,59.0,2007-03-15,2007-03-20,2,,,,,,1.0,,,,,,,,,32.94,-96.44,5
120,1-5267823,Overnight,234079,-112.167,37.6344,94710,19.0,2007-07-16,2007-07-18,29,,,,,,1.0,,,,,,,,,37.87,-122.31,2
121,1-5268213,Overnight,234038,-103.304,29.275,77657,29.0,2007-03-11,2007-03-16,3,1.0,,,,,,,,,,,,,,30.23,-94.2,5
122,1-5268222,Overnight,234038,-103.304,29.275,77657,29.0,2007-03-11,2007-03-16,3,1.0,,,,,,,,,,,,,,30.23,-94.2,5
123,1-5268226,Overnight,234038,-103.304,29.275,77657,29.0,2007-03-11,2007-03-16,3,1.0,,,,,,,,,,,,,,30.23,-94.2,5
124,1-5270090,Overnight,234074,-122.51,44.7575,97304,235.0,2007-07-19,2007-07-22,30,1.0,,1.0,,,1.0,,,,,,,,,45.0,-123.1,3
125,1-5270671,Day,234074,-122.51,44.7575,97305,110.0,2007-07-01,2007-07-01,130,,,,,,1.0,,,,,,,,,45.0,-122.9,0
126,1-5273007,Overnight,234074,-122.51,44.7575,97325,170.0,2007-07-20,2007-07-22,60,,,,,,1.0,,,,,,,,,44.82,-122.86,2
127,1-5273020,Overnight,234074,-122.51,44.7575,97305,80.0,2007-07-20,2007-07-22,6,,,,,,1.0,,,,,,,,,45.0,-122.9,2
128,1-5273022,Overnight,234074,-122.51,44.7575,97305,80.0,2007-07-20,2007-07-22,6,,,,,,1.0,,,,,,,,,45.0,-122.9,2
129,1-5274634,Overnight,234059,-109.589,38.7769,84403,39.0,2007-03-22,2007-03-26,2,1.0,,,,,1.0,,,,,,,,,41.19,-111.9,4
130,1-5277368,Overnight,234035,-102.961,29.1825,78232,39.0,2007-03-14,2007-03-17,4,,,,,,1.0,,,,,,,,,29.58,-98.48,3
131,1-5278165,Day,234074,-122.51,44.7575,97325,110.0,2007-07-21,2007-07-21,150,,,,,,1.0,,,,,,,,,44.82,-122.86,0
132,1-5278184,Overnight,234070,-118.69,47.9268,98284,609.0,2007-07-21,2007-08-04,20,1.0,,1.0,,,1.0,,,,,,,,,48.5,-122.1,14
133,1-5278427,Overnight,234059,-109.589,38.7769,84020,19.0,2007-03-23,2007-03-26,2,,,,1.0,,,,,,,,,,,40.49,-111.85,3
134,1-5283081,Overnight,234070,-118.69,47.9268,98001,309.0,2007-07-22,2007-07-29,20,,,,1.0,,,,,,,,,,,47.31,-122.27,7
135,1-5287389,Overnight,234074,-122.51,44.7575,97325,170.0,2007-07-20,2007-07-22,50,1.0,,,1.0,,,,,,,,,,,44.82,-122.86,2
136,1-5288564,Overnight,234079,-112.167,37.6344,00983,345.0,2007-07-18,2007-07-22,25,,,1.0,,,,,,,,,,,,18.36,-65.97,4
137,1-5289415,Day,234075,-121.987,45.3561,98684,105.0,2007-07-14,2007-07-14,50,,,,,,1.0,,,,,,,,,45.63,-122.52,0
138,1-5290692,Overnight,234070,-118.69,47.9268,99185,159.0,2007-06-29,2007-07-02,25,,,,,,1.0,,,,,,,,,47.7,-118.7,3
139,1-5291881,Overnight,234070,-118.69,47.9268,98223,109.0,2007-07-19,2007-07-21,25,,,,,,1.0,,,,,,,,,48.2,-122.0,2
140,1-5293356,Overnight,234071,-118.939,47.9331,98387,509.0,2007-07-06,2007-07-17,13,,,,,,1.0,,,,,,,,,47.1,-122.4,11
141,1-5293683,Overnight,234038,-103.304,29.275,76712,19.0,2007-03-10,2007-03-14,4,,,,,,1.0,,,,,,,,,31.53,-97.24,4
142,1-5294017,Overnight,234071,-118.939,47.9331,98136,19.0,2007-07-19,2007-07-22,15,,,,,,1.0,,,,,,,,,47.55,-122.39,3
143,1-5297968,Overnight,234074,-122.51,44.7575,97301,235.0,2007-07-26,2007-07-29,40,,,1.0,,,,1.0,,,,,,,,44.96,-123.0,3
144,1-5297974,Overnight,234074,-122.51,44.7575,97301,120.0,2007-07-26,2007-07-29,4,,,,,,1.0,,,,,,,,,44.96,-123.0,3
145,1-5297976,Overnight,234074,-122.51,44.7575,97301,120.0,2007-07-26,2007-07-29,4,,,,,,,1.0,,,,,,,,44.96,-123.0,3
146,1-5299323,Overnight,234074,-122.51,44.7575,97017,365.0,2007-07-10,2007-07-15,60,,,,,,1.0,,,,,,,,,45.2,-122.4,5
